"Retention Period","Arrows  Puzzle Escape (%)","Arrow Out (%)","Arrows GO! (%)"
"Day 1","45.94","37.56","27.939999999999998"
"Day 2","37.26","32.06","24.42"
"Day 3","30.990000000000002","27.93","21.560000000000002"
"Day 4","26.729999999999997","25.009999999999998","19.29"
"Day 5","23.849999999999998","22.91","17.380000000000003"
"Day 6","21.790000000000003","21.22","15.740000000000002"
"Day 7","20.22","19.62","14.360000000000001"
"Day 14","15.21","13.54","8.06"
"Day 30","","",""
"Day 60","","",""
"Day 90","","",""
"Day 180","","",""
