"Date","Arrows  Puzzle Escape Downloads","Arrows GO! Downloads","Arrow Puzzle: Tap Puzzle Games Downloads","Arrow Out Downloads","Arrowscapes™ - Arrows Puzzle Downloads","Arrow Maze - Escape Puzzle Downloads","Arrow Puzzle - Arrow Madness Downloads","Arrow Maze-Tap Away Downloads","Arrow Away: Tap Puzzle Game Downloads","Other Downloads","Arrows  Puzzle Escape DAU","Arrows GO! DAU","Arrow Puzzle: Tap Puzzle Games DAU","Arrow Out DAU","Arrowscapes™ - Arrows Puzzle DAU","Arrow Maze - Escape Puzzle DAU","Arrow Puzzle - Arrow Madness DAU","Arrow Maze-Tap Away DAU","Arrow Away: Tap Puzzle Game DAU","Other DAU"
"2026-02-24","163745","3941","83620","74666","96766","24872","8799","","9896","17859","4476672","7023","417067","489174","530639","80237","16195","","17203","39515"
"2026-02-25","162972","4899","93491","77958","90130","25653","7861","","10690","16601","4276506","8015","448697","475764","496574","88167","16295","","18571","38256"
"2026-02-26","150802","5261","95730","75132","93674","26781","6956","","11594","16153","4131782","8839","457818","483168","493984","88725","16158","","20218","37367"
"2026-02-27","159879","5577","98181","78464","104461","28637","7826","","11635","17059","4249674","9588","479525","489120","535375","95350","16349","","21243","39561"
"2026-02-28","175270","6397","111414","95056","127387","33108","9309","","10000","19375","4088807","13777","529792","506799","653516","104010","17076","","20998","44164"
"2026-03-01","169888","5662","103918","100244","127681","32072","9538","","8219","17618","4120614","12549","487936","527130","642086","103915","17424","","19848","41571"
"2026-03-02","153113","5633","99730","85741","106354","27284","8490","","7815","14353","4176351","12316","488156","480833","553868","94315","17301","","20587","36112"
"2026-03-03","159430","6905","96391","88392","105718","27843","8295","","7620","13905","4077530","14436","484121","468171","522629","95570","18391","","20629","34691"
"2026-03-04","151410","7710","99088","86968","98570","27240","9049","","6630","15776","4162249","17101","508665","496267","525234","102731","17775","","19127","35086"
"2026-03-05","144041","10878","84538","82242","92593","28047","10246","","5607","17409","4370328","21337","475930","540536","600899","105949","16698","","18179","36547"
"2026-03-06","156190","10642","93900","87457","102576","31337","10904","","5711","19590","4408086","23533","503152","570328","626799","109102","16619","","17695","39176"
"2026-03-07","172890","12811","113209","100630","117734","35544","11959","","5570","22100","4215859","27466","585672","643542","666097","120087","18520","","16988","42855"
"2026-03-08","158934","12008","97822","91916","109225","32609","10645","","5010","18714","4188252","24292","528786","666435","637804","120039","18285","","13594","39981"
"2026-03-09","140185","11434","79605","75967","94573","27984","10605","","5076","15440","4063832","22492","485806","643295","573833","110418","16436","","13467","34432"
"2026-03-10","150394","11866","83746","70426","84620","28040","10572","","5971","15307","4090683","23631","498281","624967","586992","106087","15718","","15294","33378"
"2026-03-11","160420","15034","88860","62175","82993","27516","10540","","6861","14568","4051121","28567","534028","597497","544367","106890","15649","","16708","33077"
"2026-03-12","151337","18289","97178","57950","85053","26464","10202","","7677","14320","4234472","35813","531889","583012","543103","114109","15108","","18873","32882"
"2026-03-13","144350","22273","108266","59458","95058","27799","10203","","7138","14670","4094531","40749","581269","575560","560098","119578","16023","","18999","34207"
"2026-03-14","158167","25078","116844","66976","125892","29521","11214","","8040","15996","4094575","47429","667017","589902","642426","124642","18557","","19414","37802"
"2026-03-15","140049","29968","106600","66994","139684","29952","10656","","7054","15151","3790272","51980","595568","620412","665707","123399","18778","","16356","36473"
"2026-03-16","120915","33449","101707","59240","116630","22593","9671","","7123","12014","3991278","55220","539128","598135","600045","107205","18130","","16306","31520"
"2026-03-17","119405","38541","101333","54861","113042","23417","9609","","7307","12029","4039170","66401","538797","612039","599037","103058","18570","","17151","30066"
"2026-03-18","129576","50163","104370","52810","108730","23232","9547","","6178","11215","4027603","82253","563394","598523","586500","103284","19422","","16160","28405"
"2026-03-19","151153","55307","93047","52715","97797","22037","9174","","5920","10683","3807974","92067","530632","565730","557443","100412","18934","","16262","27431"
"2026-03-20","200862","81632","117128","58832","99239","24351","10179","","6131","11955","4019702","124133","631531","580917","571387","104192","20621","","16903","30361"
"2026-03-21","239826","98274","129479","67116","120563","26941","11099","","6055","14705","4029848","153549","724993","592969","648559","119326","23733","","18205","34638"
"2026-03-22","251649","106547","125420","68944","156923","26647","11383","","4043","16271","3881581","178167","672320","602505","678005","117677","24357","","14373","34425"
"2026-03-23","216705","107547","115643","62809","142841","21413","10071","","2343","14000","3929884","184826","603059","583650","610867","110302","22598","","12184","31138"
"2026-03-24","228953","115701","127694","63640","145719","19911","10296","","1657","13236","4032522","202001","637272","561351","596677","108102","22854","","11788","30435"
"2026-03-25","261128","133193","135541","65437","146253","19463","11580","","1143","12794","3950326","239691","674542","571512","605922","109062","24912","","10853","29114"
"2026-03-26","268317","140618","137959","61809","117931","18154","11240","","1084","37267","4047804","257680","670981","572709","570774","105282","24120","","10925","44193"
"2026-03-27","302455","158151","139666","66505","113817","18929","11278","","1047","38338","4042475","306963","748130","607905","581070","105154","25298","","10486","55373"
"2026-03-28","330769","175450","134304","75929","115596","20317","11856","","1088","39987","3945434","351124","779144","594196","833983","150381","27737","","11016","74855"
"2026-03-29","365986","209242","146251","77913","103510","19197","12423","","1084","39815","4082870","406158","773696","613643","884729","145306","29415","","9186","79807"
"2026-03-30","345983","229413","148658","64035","79154","14747","10752","","1091","34875","4106974","450850","747390","551505","776750","131739","26065","","8119","76442"
"2026-03-31","370237","278299","158810","63281","73513","14679","11797","","1292","37495","4368019","529732","788224","542262","785019","135954","27360","","8021","79204"
"2026-04-01","355554","315534","169411","62913","78508","14505","13466","","1591","40207","4468067","614593","829594","553449","805787","132511","30103","","7469","82791"
"2026-04-02","392777","364563","200010","75802","84254","15910","16669","","5010","44983","4639553","693586","880472","568644","741976","133623","33197","","12191","88177"
"2026-04-03","439512","427677","195982","89752","92985","18410","19105","","9229","47355","4488780","833413","926370","617922","760163","145299","37435","","20701","95480"
"2026-04-04","446058","437984","209103","96628","94111","18824","20859","","10538","48873","4496608","885460","972596","658815","809787","150575","42151","","24545","102474"
"2026-04-05","433447","460587","212625","98866","91900","18954","22257","","10889","47108","4708297","946316","990229","685960","850421","158158","45017","","24940","105415"
"2026-04-06","432455","438620","202376","94372","81503","17461","20542","","11272","43274","4511595","931514","944511","666209","791974","148815","40330","","23754","102388"
"2026-04-07","442450","474632","190813","92918","77544","16395","21006","","11497","45343","4709301","991189","946319","665226","784120","153602","42114","","23342","104644"
"2026-04-08","473771","485276","193162","94833","76044","16669","21501","","11805","45119","4649821","1036131","974109","661633","805065","154457","45078","","23138","106053"
"2026-04-09","517568","487766","183212","91011","67023","19053","20105","36","12313","40779","4722021","1058089","998558","683727","732101","149844","44632","19","27607","106005"
"2026-04-10","631542","534873","192510","103533","73717","21286","21619","105","11767","41700","4547358","1191093","1006270","695005","772574","159038","48599","59","31261","108004"
"2026-04-11","699545","598398","210519","121991","81218","25465","23429","7422","13609","45258","4978097","1289202","1062855","720342","780847","156339","52664","224","36058","113605"
"2026-04-12","705386","652920","203395","128849","83832","27002","25413","10977","12138","38442","4772548","1417401","1072283","731428","768839","154062","56662","697","33053","117874"
"2026-04-13","626480","580654","186502","95726","65636","24324","23026","12480","11788","36147","5023703","1296059","1007282","637969","678543","144637","50831","844","31458","105455"
"2026-04-14","639051","630508","174715","101166","65334","22764","22958","13343","12515","34191","5311990","1381046","969741","634770","662940","142678","51672","1208","31754","102225"
